ID,大項目,中項目,小項目,開始日,終了日,担当者
1.1,プロジェクト準備,開発環境構築,"Docker, Lint, Formatter 設定",2025-07-05,2025-07-06,中川
1.2,プロジェクト準備,リポジトリ設定,"GitHub Actions, ブランチ戦略",2025-07-05,2025-07-05,中川
2.1,Contractsアプリ,モデル定義,"Contract, ContractManager, History モデル作成",2025-07-06,2025-07-07,中川
2.2,Contractsアプリ,シリアライザ作成,"ContractSerializer, HistorySerializer",2025-07-07,2025-07-08,中川
2.3,Contractsアプリ,ViewSet作成,CRUD+履歴エンドポイント,2025-07-08,2025-07-09,中川
2.4,Contractsアプリ,フロント実装,一覧 & サイドバー,2025-07-09,2025-07-10,中川
2.5,Contractsアプリ,フロント実装,詳細 & 編集 & 履歴モーダル,2025-07-10,2025-07-11,中川
2.6,Contractsアプリ,CSS調整,CSS Modules 最終調整,2025-07-11,2025-07-12,中川
2.7,Contractsアプリ,テスト,バックエンド・フロント両面テスト,2025-07-12,2025-07-13,中川
3.1,Invoicesアプリ,モデル定義,Invoice基本モデル作成,2025-07-13,2025-07-14,中川
3.2,Invoicesアプリ,シリアライザ作成,InvoiceSerializer,2025-07-14,2025-07-15,中川
3.3,Invoicesアプリ,ViewSet作成,CRUD API 実装,2025-07-15,2025-07-16,中川
3.4,Invoicesアプリ,フロント実装,タブ: 基本情報/請求情報/サンプル,2025-07-16,2025-07-18,中川
3.5,Invoicesアプリ,CSS調整,CSS Modules 最終調整,2025-07-18,2025-07-19,中川
3.6,Invoicesアプリ,テスト,バックエンド・フロント両面テスト,2025-07-19,2025-07-20,中川
4.1,共通情報アプリ,モデル&API,Enum Choices API,2025-07-20,2025-07-21,中川
4.2,共通情報アプリ,フロント実装,共通情報画面,2025-07-21,2025-07-22,中川
4.3,共通情報アプリ,テスト,API & UI テスト,2025-07-22,2025-07-23,中川
5.1,Salesアプリ,モデル定義,Salesモデル作成,2025-07-23,2025-07-24,中川
5.2,Salesアプリ,シリアライザ&API,"SalesSerializer, ViewSet",2025-07-24,2025-07-25,中川
5.3,Salesアプリ,フロント実装,Sales情報画面,2025-07-25,2025-07-26,中川
6.1,Clientsアプリ,モデル定義,Clientモデル作成,2025-07-26,2025-07-27,中川
6.2,Clientsアプリ,シリアライザ&API,"ClientSerializer, ViewSet",2025-07-27,2025-07-28,中川
6.3,Clientsアプリ,フロント実装,Client情報画面,2025-07-28,2025-07-29,中川
7.1,BulkMailアプリ,モデル&API,"テンプレート, Logs モデル, ViewSet",2025-07-29,2025-07-30,中川
7.2,BulkMailアプリ,フロント実装,一斉送信画面,2025-07-30,2025-07-31,中川
8.1,Notificationsアプリ,モデル&API,"通知モデル, ViewSet",2025-07-30,2025-07-30,中川
8.2,Notificationsアプリ,フロント実装,通知一覧画面,2025-07-31,2025-07-31,中川
